,LABEL_0,LABEL_1,LABEL_2,LABEL_3,LABEL_4,LABEL_5,LABEL_6,LABEL_7,LABEL_8,LABEL_9,LABEL_10,LABEL_11,LABEL_12,LABEL_13,LABEL_14,LABEL_15,LABEL_16,LABEL_17,LABEL_18,LABEL_19,LABEL_20,LABEL_21,LABEL_22,LABEL_23,LABEL_24,LABEL_25,LABEL_26,LABEL_27
LABEL_0,271,6,0,1,5,4,1,2,0,4,0,0,1,0,1,14,0,12,15,0,6,0,0,0,1,2,11,45
LABEL_1,4,168,1,0,0,0,4,1,0,0,0,2,0,1,0,1,0,5,2,0,1,0,0,0,1,0,2,11
LABEL_2,0,1,85,14,0,2,0,3,1,2,4,8,0,0,1,2,0,0,3,0,0,0,0,0,0,4,4,57
LABEL_3,2,8,28,40,6,2,2,11,1,3,9,7,2,0,5,2,0,0,3,0,2,0,1,0,2,3,0,123
LABEL_4,17,3,1,3,72,6,2,2,0,0,3,0,0,1,2,1,0,6,4,0,5,0,0,0,1,2,2,126
LABEL_5,3,1,0,0,4,34,1,0,1,0,1,0,0,0,1,3,0,3,2,0,4,0,0,0,0,1,0,33
LABEL_6,4,3,0,1,2,1,56,23,0,0,2,0,0,1,0,3,0,2,1,0,0,0,0,0,1,3,3,39
LABEL_7,6,0,0,0,1,2,7,89,0,0,0,0,1,3,3,0,0,1,2,0,2,0,0,1,1,2,6,62
LABEL_8,1,0,2,0,1,2,0,1,29,0,0,0,0,1,0,0,0,2,2,0,4,0,0,0,1,2,0,10
LABEL_9,2,1,5,5,0,2,2,2,2,20,3,4,0,1,2,2,0,0,3,0,2,0,0,0,0,13,0,63
LABEL_10,3,6,4,0,6,0,4,2,0,2,40,6,0,0,0,1,0,0,2,0,1,0,0,0,3,3,2,113
LABEL_11,2,4,7,9,0,0,2,3,0,0,4,46,0,0,6,0,0,0,1,0,0,0,0,0,0,3,1,21
LABEL_12,0,1,0,1,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6
LABEL_13,4,0,0,0,3,0,0,5,1,0,0,0,0,21,1,1,0,4,0,0,1,0,0,0,0,0,3,13
LABEL_14,0,1,0,0,0,1,0,0,0,0,0,1,0,0,62,0,0,0,0,0,0,0,0,0,0,2,1,8
LABEL_15,4,0,1,0,1,2,0,0,0,0,0,0,0,1,0,296,0,8,0,0,4,0,0,0,0,1,0,1
LABEL_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LABEL_17,11,8,0,0,0,1,1,0,0,0,0,0,0,5,2,13,0,83,13,0,2,0,0,0,0,0,2,11
LABEL_18,4,2,4,0,3,1,0,0,0,0,2,0,0,2,0,3,0,3,187,0,2,0,0,0,0,0,0,7
LABEL_19,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7,1,0,0,0,5,0,0,0,0,0,2,0,0
LABEL_20,8,3,0,0,4,9,1,0,7,0,0,0,0,2,1,6,0,3,0,0,97,0,1,0,1,0,4,27
LABEL_21,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
LABEL_22,1,4,0,0,4,2,0,2,0,0,1,3,1,1,0,0,0,1,1,0,0,0,11,0,1,1,6,49
LABEL_23,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
LABEL_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,33,16,0,2
LABEL_25,2,0,2,1,0,3,2,0,1,4,1,1,0,0,1,1,0,0,0,1,1,0,0,0,12,94,5,24
LABEL_26,8,2,2,1,0,0,3,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,70,26
LABEL_27,49,26,22,16,27,24,23,61,11,7,13,11,2,5,8,8,0,11,9,0,10,0,9,0,4,17,9,1325
